"","Gene","logFC","pvalues"
"ENSG00000269504","ENSG00000269504",NA,0.397918900820879
"ENSG00000254395","ENSG00000254395",NA,0.162244224642739
"ENSG00000233999","ENSG00000233999",NA,0.387145654888661
"ENSG00000236627","ENSG00000236627",NA,0.373900966300059
"ENSG00000233517","ENSG00000233517",NA,0.359536695288852
"ENSG00000232529","ENSG00000232529",NA,0.348034003322058
"ENSG00000285336","ENSG00000285336",NA,0.210339964003311
"ENSG00000258551","ENSG00000258551",NA,0.201801233294748
"ENSG00000254750","ENSG00000254750",NA,0.300093278463649
"ENSG00000230936","ENSG00000230936",NA,0.100719329701058
"ENSG00000229563","ENSG00000229563",NA,0.365153588460644
"ENSG00000287668","ENSG00000287668",NA,0.279706641454565
"ENSG00000269506","ENSG00000269506",NA,0.388576556475937
"ENSG00000253132","ENSG00000253132",NA,0.373900966300059
"ENSG00000233977","ENSG00000233977",NA,0.191354914165281
"ENSG00000287849","ENSG00000287849",NA,0.179662818006223
"ENSG00000288545","ENSG00000288545",NA,0.109803122038559
"ENSG00000220891","ENSG00000220891",NA,0.384890519358382
"ENSG00000134757","ENSG00000134757",NA,0.215120272670129
"ENSG00000108759","ENSG00000108759",NA,0.198714452154531
"ENSG00000242076","ENSG00000242076",NA,0.315415805548659
"ENSG00000184344","ENSG00000184344",NA,0.282261543505426
"ENSG00000211665","ENSG00000211665",NA,0.404500475076745
"ENSG00000242207","ENSG00000242207",NA,0.304521747478696
"ENSG00000286481","ENSG00000286481",NA,0.225111701379647
"ENSG00000215117","ENSG00000215117",NA,0.209338573783383
"ENSG00000257927","ENSG00000257927",NA,0.201877278664783
"ENSG00000243063","ENSG00000243063",NA,0.333845067906425
"ENSG00000227255","ENSG00000227255",NA,0.308937438024903
"ENSG00000253239","ENSG00000253239",NA,0.410907027878371
"ENSG00000239975","ENSG00000239975",NA,0.184291026208329
"ENSG00000286081","ENSG00000286081",NA,0.161572703813097
"ENSG00000203907","ENSG00000203907",NA,0.382814585093085
"ENSG00000256325","ENSG00000256325",NA,0.352306346581721
"ENSG00000211794","ENSG00000211794",NA,0.243719816945039
